Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
425,他,,"1. 다른 것, 딴 것[곳]. 2. 바깥, (어느 범위) 밖, 외(外). 3. (뒤에 부정어(否定語)를 수반하여 부조사(副助詞)적으로 쓰여) …밖에, …외에.",,,,,,,,,,
427,事,,"1. 일, 것(개체인 물건으로서가 아니고 파악한 의식·사고의 대상, ‘もの’보다는 추상적인 것을 말함). 2. 사항, 사실, 사정, 사건. 3. 특히 중요한 일, 사건, …하기.",,,,,,,,,,
429,胸,,1. 가슴. 2. 목과 배 사이의 앞부분. 3. 유방.,,,,,,,,,,
430,さっき,,"1. 속어 아까, 조금 전. (=さきほど) 2. 살기. 3. 적의(敵意)에 찬 기운.",,,,,,,,,,
435,一人,,"1. 한 사람, 한 명. (=いちにん) 2. 혼자, 단 한 사람. 3. (뒤에 부정(否定)의 말이 와서) 비단, 단지, 다만, 단순히.",,,,,,,,,,
439,一つ,,"1. 하나. 2. 수(數)의 하나: 한 개, 한. 3. 그럼, 한번, 자.",,,,,,,,,,
440,表情,,"1. 표정. 2. 속의 감정이 밖으로 나타난 것; 또, 그 얼굴. 3. 모양, 풍경.",,,,,,,,,,
441,ごめん,,"1. 면허·공인(公認)·특허의 높임말. 2. 면직(免職)의 높임말. 3. 용서·사면의 높임말; 또, 방문·사과를 할 때의 인사말.",,,,,,,,,,
447,腕,,"1. 팔. 2. 완력. 3. 솜씨, 실력, 기술.",,,,,,,,,,
453,確認,,1. 확인. 2. 확실하게 알아보거나 인정하는 것. 3. 특정 사실이나 법률관계의 존재 여부에 대해 다툼이나 혐의가 있을 때 이를 판단·인정하는 행위.,,,,,,,,,,
455,全部,,"1. (사물의) 전부, 모두, 전체. (↔一部) 2. 전질(全帙), 한 질로 된 책의 전부. 3. 全部 ぜんぶ , すべて.",,,,,,,,,,
456,何度,,"1. 몇 번, 여러 번. (=何べん) 2. 온도·각도 등의 값이 불분명한 것을 가리키는 말: 몇 도. 3. 몇 번이나, 몇 번이고.",,,,,,,,,,
458,子供,,"1. 아이, 어린아이. (↔大人) 2. 자식, 아들딸(넓은 뜻으로는 동물의 새끼도 가리킴). (↔親) 3. 생각이 모자람; 또, 그러한 사람. (↔大人)",,,,,,,,,,
